,NAMES,ID,PLAYING_ROLE
0,KJ Abbott,http://www.espncricinfo.com/ci/content/player/297583.html,Bowler
1,D Elgar,http://www.espncricinfo.com/ci/content/player/230852.html,Middle-order batsman
2,WD Parnell,http://www.espncricinfo.com/ci/content/player/265564.html,Bowler
3,S van Zyl,http://www.espncricinfo.com/ci/content/player/267479.html,Allrounder
4,DJ Vilas,http://www.espncricinfo.com/ci/content/player/262456.html,Wicketkeeper batsman
5,D Wiese,http://www.espncricinfo.com/ci/content/player/221140.html,Allrounder
6,M Shezi,http://www.espncricinfo.com/ci/content/player/230860.html,Bowler
7,T Bavuma,http://www.espncricinfo.com/ci/content/player/372116.html,Middle-order batsman
8,Q de Kock,http://www.espncricinfo.com/ci/content/player/379143.html,Wicketkeeper batsman
9,M de Lange,http://www.espncricinfo.com/ci/content/player/393279.html,Bowler
10,DA Miller,http://www.espncricinfo.com/ci/content/player/321777.html,Middle-order batsman
11,DL Piedt,http://www.espncricinfo.com/ci/content/player/379926.html,Bowler
12,D Pretorius,http://www.espncricinfo.com/ci/content/player/327830.html,Top-order batsman
13,RR Rossouw,http://www.espncricinfo.com/ci/content/player/318845.html,Bowler
14,T Shamsi,http://www.espncricinfo.com/ci/content/player/379145.html,Bowler
15,GC Viljoen,http://www.espncricinfo.com/ci/content/player/375126.html,Top-order batsman
16,HM Amla,http://www.espncricinfo.com/ci/content/player/43906.html,Batting allrounder
17,F Behardien,http://www.espncricinfo.com/ci/content/player/44410.html,Opening batsman
18,SC Cook,http://www.espncricinfo.com/ci/content/player/44656.html,Wicketkeeper batsman
19,AB de Villiers,http://www.espncricinfo.com/ci/content/player/44936.html,Batting allrounder
20,JP Duminy,http://www.espncricinfo.com/ci/content/player/44932.html,Middle-order batsman
21,F du Plessis,http://www.espncricinfo.com/ci/content/player/44828.html,Allrounder
22,SR Harmer,http://www.espncricinfo.com/ci/content/player/432960.html,Bowler
23,Imran Tahir,http://www.espncricinfo.com/ci/content/player/40618.html,Bowler
24,M Morkel,http://www.espncricinfo.com/ci/content/player/46538.html,Bowling allrounder
25,CH Morris,http://www.espncricinfo.com/ci/content/player/439952.html,Bowler
26,AM Phangiso,http://www.espncricinfo.com/ci/content/player/46942.html,Allrounder
27,VD Philander,http://www.espncricinfo.com/ci/content/player/46945.html,Bowler
28,DW Steyn,http://www.espncricinfo.com/ci/content/player/47492.html,Wicketkeeper batsman
29,MV Boucher,http://www.espncricinfo.com/ci/content/player/44111.html,Allrounder
30,JH Kallis,http://www.espncricinfo.com/ci/content/player/45789.html,Bowler
31,RK Kleinveldt,http://www.espncricinfo.com/ci/content/player/45949.html,Allrounder
32,R McLaren,http://www.espncricinfo.com/ci/content/player/46393.html,Batsman
33,AN Petersen,http://www.espncricinfo.com/ci/content/player/46934.html,Bowler
34,RJ Peterson,http://www.espncricinfo.com/ci/content/player/46750.html,Opening batsman
35,JA Rudolph,http://www.espncricinfo.com/ci/content/player/47015.html,Top-order batsman
36,GC Smith,http://www.espncricinfo.com/ci/content/player/47270.html,Wicketkeeper batsman
37,H Davids,http://www.espncricinfo.com/ci/content/player/44752.html,Bowler
38,MN van Wyk,http://www.espncricinfo.com/ci/content/player/47711.html,Bowler
