,WINNER,BAT,MARGIN,VENUE,MATCH_ID,SCORE
0,abandoned,0,,Kochi,http://www.espncricinfo.com/ci/engine/match/464528.html,0
1,India,2,5 wickets,Visakhapatnam,http://www.espncricinfo.com/ci/engine/match/464529.html,292
2,abandoned,0,,Margao,http://www.espncricinfo.com/ci/engine/match/464530.html,0
3,India,2,5 wickets,Ahmedabad,http://www.espncricinfo.com/ci/engine/match/433601.html,261
4,Australia,2,65 runs,Melbourne,http://www.espncricinfo.com/ci/engine/match/518956.html,151
5,India,2,4 wickets,Adelaide,http://www.espncricinfo.com/ci/engine/match/518959.html,270
6,Australia,2,110 runs,Brisbane,http://www.espncricinfo.com/ci/engine/match/518962.html,178
7,Australia,2,87 runs,Sydney,http://www.espncricinfo.com/ci/engine/match/518965.html,165
8,Australia,2,72 runs,Pune,http://www.espncricinfo.com/ci/engine/match/647249.html,232
9,India,2,9 wickets,Jaipur,http://www.espncricinfo.com/ci/engine/match/647251.html,362
10,Australia,1,4 wickets,Mohali,http://www.espncricinfo.com/ci/engine/match/647253.html,303
11,no result,0,,Ranchi,http://www.espncricinfo.com/ci/engine/match/647255.html,0
12,abandoned,0,,Cuttack,http://www.espncricinfo.com/ci/engine/match/647257.html,0
13,India,2,6 wickets,Nagpur,http://www.espncricinfo.com/ci/engine/match/647259.html,351
14,India,1,57 runs,Bangalore,http://www.espncricinfo.com/ci/engine/match/647261.html,383
15,Australia,1,4 wickets,Melbourne,http://www.espncricinfo.com/ci/engine/match/754749.html,267
16,no result,0,,Sydney,http://www.espncricinfo.com/ci/engine/match/754757.html,0
17,Australia,2,95 runs,Sydney,http://www.espncricinfo.com/ci/engine/match/656493.html,233
18,Australia,1,5 wickets,Perth,http://www.espncricinfo.com/ci/engine/match/895807.html,309
19,Australia,1,7 wickets,Brisbane,http://www.espncricinfo.com/ci/engine/match/895809.html,308
20,Australia,1,3 wickets,Melbourne,http://www.espncricinfo.com/ci/engine/match/895811.html,295
21,Australia,2,25 runs,Canberra,http://www.espncricinfo.com/ci/engine/match/895813.html,323
22,India,2,6 wickets,Sydney,http://www.espncricinfo.com/ci/engine/match/895815.html,331
